disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Administrative boundary of reporting government,col2_Next highest level of government,col3_Next lowest level of government,col4_Area of the jurisdiction boundary (in square km),"col5_Percentage range of jurisdiction area that is natural or modified terrestrial, freshwater, coastal and/or marine ecosystem",col6_Current (or most recent) population size,col7_Population year,col8_Projected population size,col9_Projected population year,col10_Select the currency used for all financial information reported throughout your response,col11_Select which Common Reporting Framework level you are reporting to^
2025 Disclosure Cycle,779465,CDP,826446,City of Bradford,City,UKWW,United Kingdom,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Metropolitan area,County / Province,Sub-municipal district,370,61-70%,563600,2024,570100,2032,GBP Pound Sterling,
2025 Disclosure Cycle,779465,CDP,831234,"City of Fredericton, NB",City,North America,Canada,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,132.6,61-70%,63116.0,2023,114000,2050,CAD Canadian Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,831431,Cornwall Council,City,UKWW,United Kingdom,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,County / Province,National,Town,3563.0,61-70%,588695,2022,627314,2030,GBP Pound Sterling,CRF Complete level
2025 Disclosure Cycle,779465,CDP,831674,Municipality of Amarante,City,Europe,Portugal,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Other: Freguesia,301.0,<5%,52131.0,2021,51200,2031,EUR Euro,
2025 Disclosure Cycle,779465,CDP,831812,Municipalidad de Puerto Barrios,City,Latin America,Guatemala,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,1292,41-50%,129000,2018,142000,2026,GTQ Quetzal,
2025 Disclosure Cycle,779465,CDP,831923,Muğla,City,UKWW,Türkiye,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Local government area within a greater metropolitan area,National,Metropolitan area,12974,61-70%,1066736,2023,1500000.0,2030,TRY New Turkish Lira,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,831952,Municipalidad de Portoviejo,City,Latin America,Ecuador,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Other: Parroquia,967.5,21-30%,322925,2024,340615,2030,USD US Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,831999,Municipalidad de Monteverde,City,Latin America,Costa Rica,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,Special city / municipality,53.14,61-70%,6216,2022,7433,2050,USD US Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,832078,Municipality of Mafra,City,Europe,Portugal,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,City / Municipality,292.0,61-70%,89055,2023,93711,2030,EUR Euro,
2025 Disclosure Cycle,779465,CDP,832300,North Tyneside Council,City,UKWW,United Kingdom,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Local government area within a greater metropolitan area,National,No lower level of government,84.82,21-30%,211769,2023,218387.0,2030,GBP Pound Sterling,CRF Complete level
2025 Disclosure Cycle,779465,CDP,832508,Hartlepool Borough Council,City,UKWW,United Kingdom,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Other: Unitary Authority,State / regional,No lower level of government,94.0,5-10%,98180,2024,93863.0,2043,GBP Pound Sterling,CRF Complete level
2025 Disclosure Cycle,779465,CDP,832610,"Orange County, NC",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,County / Province,State / regional,City / Municipality,639.81,71-80%,152239,2023,189448.0,2050,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,832838,"Town of Wellfleet, MA",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Intercommunality / Intermunicipality,91.7,71-80%,3566,2020,2479,2050,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,833284,West Midlands Combined Authority,City,UKWW,United Kingdom,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Metropolitan area,National,City / Municipality,902.0,11-20%,2919600.0,2021,3227600.0,2038,GBP Pound Sterling,
2025 Disclosure Cycle,779465,CDP,834058,Bogor Regency,City,South East Asia & Oceania,Indonesia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Sub-municipal district,2991.78,21-30%,5682303,2024,5918258,2030,IDR Rupiah,
2025 Disclosure Cycle,779465,CDP,834083,"City of Eau Claire, WI",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,94.79,41-50%,73011,2025,78400,2030,USD US Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,834094,City of Ligao,City,South East Asia & Oceania,Philippines,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Other: Barangay,24640,I do not have this data,119779,2024,0,,PHP Philippine Peso,
2025 Disclosure Cycle,779465,CDP,834120,City of Tanjungpinang,City,South East Asia & Oceania,Indonesia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,Independent province,Sub-municipal district,15.037,11-20%,239216,2024,249390,2029,IDR Rupiah,CRF Complete level
2025 Disclosure Cycle,779465,CDP,834126,Dobong-gu District of Seoul,City,South East Asia & Oceania,Korea (The Republic of),Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Sub-municipal district,20.84,41-50%,306948,2023,304929,2030,KRW South Korean Won,CRF Complete level
2025 Disclosure Cycle,779465,CDP,834131,Fuji City,City,Japan,Japan,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,244.95,71-80%,246967,2024,235565.0,2031,JPY Japanese yen,
2025 Disclosure Cycle,779465,CDP,834142,George Local Municipality,City,UKWW,South Africa,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,5191.0,61-70%,224015.0,2022,236737.0,2026,ZAR South African Rand,
2025 Disclosure Cycle,779465,CDP,834161,Kinmen County Government,City,China,East Asia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,County / Province,State / regional,Town,151.656,41-50%,141295,2024,153000.0,2030,TWD New Taiwan Dollar,
2025 Disclosure Cycle,779465,CDP,834255,Municipality of Guaymallén,City,Latin America,Argentina,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,164.0,71-80%,321966,2022,369592,2030,USD US Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,834261,Municipality of Irapuato,City,Latin America,Mexico,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,851.0,61-70%,592953.0,2020,620096.0,2030,MXN Mexican Peso,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,834273,Municipality of Lautaro,City,Latin America,Chile,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Independent city / municipality,901.0,21-30%,45,2025,41936,,CLP Chilean Peso,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,834280,Municipality of Pérez,City,Latin America,Argentina,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,68,I do not have this data,32430,2022,35500,2030,ARS Argentine Peso,CRF Complete level
2025 Disclosure Cycle,779465,CDP,834284,Municipality of Salamanca,City,Latin America,Mexico,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,755.6,31-40%,273417,2020,300994,2050,MXN Mexican Peso,
2025 Disclosure Cycle,779465,CDP,834339,Odawara City,City,Japan,Japan,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Special city / municipality,State / regional,Sub-municipal district,113.6,71-80%,184847,2025,172785.0,2030,JPY Japanese yen,
2025 Disclosure Cycle,779465,CDP,834347,Seberang Perai Municipal Council,City,South East Asia & Oceania,Malaysia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Intercommunality / Intermunicipality,744,41-50%,1135000.0,2022,1600000.0,2050,MYR Malaysian Ringgit,CRF Complete level
2025 Disclosure Cycle,779465,CDP,834348,Phuentsholing Municipality,City,India,Bhutan,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,No lower level of government,15.6,71-80%,30000,2025,0,,BTN Ngultrum,
2025 Disclosure Cycle,779465,CDP,834382,City of Trollhättan,City,Europe,Sweden,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,427.71,51-60%,59003,2024,61117,2034,SEK Swedish Krona,
2025 Disclosure Cycle,779465,CDP,834386,Thung Song Town Municipality,City,South East Asia & Oceania,Thailand,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,7.17,71-80%,28767,2025,30000,2027,,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,834400,Yasothon Town Municipality,City,South East Asia & Oceania,Thailand,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Independent city / municipality,County / Province,No lower level of government,9.7,71-80%,19831,2024,20001,2027,THB Baht,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,834515,Şanlıurfa Metropolitan Municipality,City,UKWW,Türkiye,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,Sub-municipal district,19220,11-20%,2213964,2023,3810000,2050,EUR Euro,CRF Complete level
2025 Disclosure Cycle,779465,CDP,838937,Mersin Metropolitan Municipality,City,UKWW,Türkiye,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,Sub-municipal district,15853,11-20%,1938389,2023,2330750.0,2050,TRY New Turkish Lira,CRF Complete level
2025 Disclosure Cycle,779465,CDP,838939,Kocaeli Metropolitan Municipality,City,UKWW,Türkiye,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,County / Province,3505.0,<5%,2130006,2024,2700000.0,2030,TRY New Turkish Lira,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,839572,Putrajaya City,City,South East Asia & Oceania,Malaysia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,State / regional,National,No lower level of government,49.31,31-40%,155818,2024,200000,2030,MYR Malaysian Ringgit,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,839666,Municipio de Escuintla,City,Latin America,Guatemala,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Intercommunality / Intermunicipality,332,41-50%,176287,2025,185443,2030,GTQ Quetzal,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,839668,Municipio de Iztapa,City,Latin America,Guatemala,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,"Other: Aldea, Caserío",164,31-40%,21264,2025,22551,2030,GTQ Quetzal,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,839669,Municipio de San Jose,City,Latin America,Guatemala,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,"Other: Aldea, colonia, caserillo",280,51-60%,71229,2025,75671,2030,GTQ Quetzal,
2025 Disclosure Cycle,779465,CDP,839970,San Justo (Argentina),City,Latin America,Argentina,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,26,I do not have this data,26366,2022,29001,2030,ARS Argentine Peso,CRF Complete level
2025 Disclosure Cycle,779465,CDP,840024,Perth and Kinross,City,UKWW,United Kingdom,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Independent city / municipality,National,Sub-municipal district,5418.9444,21-30%,153810.0,2021,152779.0,2028,GBP Pound Sterling,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,840075,Unley City Council,City,South East Asia & Oceania,Australia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Local government area within a greater metropolitan area,State / regional,No lower level of government,14.4,<5%,39929,2023,46082.0,2040,AUD Australian Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,840105,Samdrup Jongkhar Municipality,City,India,Bhutan,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,No lower level of government,4.47,I do not have this data,9325,2024,0,2026,BTN Ngultrum,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,840113,Bhavnagar Municipal Corporation,City,India,India,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,119,11-20%,806120,2024,1144898,2050,INR Indian Rupee,CRF Complete level
2025 Disclosure Cycle,779465,CDP,840118,Jamnagar Municipal Corporation,City,India,India,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,128.4,11-20%,605995,2022,984828,2050,INR Indian Rupee,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,840131,Tiruchirappalli City Municipal Corporation,City,India,India,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,County / Province,167.2,5-10%,1081234,2021,1332000.0,2030,INR Indian Rupee,CRF Complete level
2025 Disclosure Cycle,779465,CDP,840134,Tirunelveli Municipal Corporation,City,India,India,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,108.65,11-20%,554522.0,2021,843230,2050,INR Indian Rupee,CRF Complete level
2025 Disclosure Cycle,779465,CDP,840143,Vishakhapatnam Municipal Corporation,City,India,India,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,628,,2300000,2019,,,INR Indian Rupee,
