disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Passenger mode share data to report,col2_Passenger mode share: Walking (%),col3_Passenger mode share: Cycling (%),col4_Passenger mode share: Micromobility (including e-scooters) (%),col5_Passenger mode share: Buses (including Bus Rapid Transit) (%),col6_Passenger mode share: Rail/Metro/Tram (%),col7_Passenger mode share: Ferries/ River boats (%),col8_Passenger mode share: Taxis or shared vehicles (e.g. hire vehicles) (%),col9_Passenger mode share: Private motorized transport (%),col10_Passenger mode share: Informal/paratransit/popular transit systems (%),col11_Passenger mode share: Other (%),col12_Year passenger mode share data applies to,col13_Total passenger mode share reported (%),col14_Freight mode share data to report,col15_Freight mode share: Motorcycle / Two wheeler (%),col16_Freight mode share: Light Goods Vehicles (LGV) (%),col17_Freight mode share: Medium Goods vehicles (MGV) (%),col18_Freight mode share: Heavy Goods vehicles (HGV) (%),col19_Freight mode share: Rail (%),col20_Freight mode share: Inland water transport (%),col21_Freight mode share: Other (%),col22_Year freight mode share data applies to,col23_Total freight mode share reported (%),col24_Comment
2025 Disclosure Cycle,779465,CDP,849039,Ceres (Argentina),City,Latin America,Argentina,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,ninguno
2025 Disclosure Cycle,779465,CDP,849051,Udaipur Municipal Corporation,City,India,India,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),48.0,2.0,34.0,2.0,0.0,0,11,3.0,,0.0,2015,100.00,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,850305,Prefeitura de Joaçaba,City,Latin America,Brazil,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),30,5,2,25,0,0,50,50,10,15,2023,,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,850413,Prefeitura de Itá,City,Latin America,Brazil,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,850566,Prefeitura de Piraquara,City,Latin America,Brazil,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,A jurisdição não possui investimento e nem empresa licitada para calcular estes dados necessários.
2025 Disclosure Cycle,779465,CDP,850585,Municipality of Ambato,City,Latin America,Ecuador,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),12,1,1.0,26.0,0.0,0.0,9.0,3.0,30,30.0,2022,112.00,,,,,,,,,,,"Cabe mencionar que el transporte público va perdiendo su participación frente al vehículo privado, de mantenerse la tendencia actual de crecimiento y si las condiciones de movilidad de la ciudad se mantiene en los actuales niveles de gestión e intervención."
2025 Disclosure Cycle,779465,CDP,852443,"Ferndale, MI",City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,Unknown
2025 Disclosure Cycle,779465,CDP,852445,"Gainesville, FL",City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),4.4,3.7,0.3,4.8,0.0,0.0,11.0,65.0,0,10.8,2019,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,Sourced from Community Analyst tool analysis from ESRI (incorporates a host of data the city uses internally).
2025 Disclosure Cycle,779465,CDP,852466,South Gloucestershire Council,City,UKWW,United Kingdom,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),6,8,0,6,5,0,7,62,0,2,2024,96.00,,,,,,,,,,,West of England Regional Travel to Work Survey passenger mode data reported in data dashboard 2025 figures don't include the working from home figure of approx 5% reflected in the dashboard which we cannot add to the boxes provided for answers: https://beta.southglos.gov.uk/static/19cf044c03d213ee36ccb61cedfba962/Regen-Dashboard-South-Gloucestershire.pdf
2025 Disclosure Cycle,779465,CDP,852473,Sandwell Metropolitan Borough Council,City,UKWW,United Kingdom,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),8.04,1.49,,10.41,3.48,,9.67,65.47,,1.44,2021,100.00,,,,,,,,,,,"(No update to data sources this year)\nThere are numerous sources of data for this information. The data in the table are taken from the 2021 Census data for Sandwell and captures journeys to work only. \n\nThe figure for shared vehicles and hire vehicles includes passenger share vehicles (7.65%)\n\nAn alternate dataset is the modal share data from Transport for West Midlands, using data from our strategic centre of West Bromwich in 2020. However, this survey does not include trips by walking. (https://community-engagement-tfwm.hub.arcgis.com/pages/modal-split) \nThe split from the TfWM data is as follows: \nBus: 34.65%\nTram: 5.74%\nCar: 53.06%\nLight Vehicle: 3.39%\nHeavy Vehicle: 3.04%\nCycle: 0.1% \n \n\n"
2025 Disclosure Cycle,779465,CDP,852524,Westminster City Council,City,UKWW,United Kingdom,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),50.3,4.8,0,9.2,15.8,0,3.2,16.7,0,0.0,2023,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,Data taken from Westminster sustainable Transport Strategy and applies to Westminster residents
2025 Disclosure Cycle,779465,CDP,854042,Metropolitan Municipality of Milan,City,Europe,Italy,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),0,6.8,0.9,0,0,0,0,50.8,0,0,2022,,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,urban sustainable mobility plan data (
2025 Disclosure Cycle,779465,CDP,854050,"City of Nanaimo, BC",City,North America,Canada,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),5,1.0,0.0,4,0.0,0.0,0.0,80,0,10,2021,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,local freight share data not available
2025 Disclosure Cycle,779465,CDP,856655,Cardiff Capital Region,City,UKWW,United Kingdom,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),20.0,0.0,0.0,6.0,3.0,0.0,0.0,71.0,0,0.0,2020,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"Accurate mode share data across the full range of journey purposes doesn't exist in Wales at present. The current situation is that some reasonably good data exists for journey to work mode share (as that question is asked quite regularly in surveys). For all other journey purposes assessments are currently based on a wide range of trip volume data sources, which are then combined into trip matrices for use in the multi-modal transport models; mode share estimates are extracted from this. It is believed this data gap situation will change in the next 2 years as a new Wales National Travel Survey is rolled out that is equivalent to the survey that takes place in England, where each year a sample of the population is asked to complete a travel diary, logging all of their journeys and mode choices over a week period. Updated modal share data is expected March 2026. Until that time, their are some limitations in what mode share information we can obtain. However, two data sources that do exist: 1. National Survey for Wales (National Survey for Wales GOV.WALES) Normally the only transport question asked is whether or not respondents have access to a car. However in 2019/20 there was a focus on transport and the question on 'usual mode of travel to work' (which includes 16 education trips as well) was asked. Results were as follows: • Car/Van: 75.0% • Walk/Run: 13.0% • Bus/Minibus/Coach: 5.8% • Train: 3.0% • Cycle: 1.7%"
2025 Disclosure Cycle,779465,CDP,859095,Mizuho Town,City,Japan,Japan,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,データなし
2025 Disclosure Cycle,779465,CDP,859096,Kamakura City,City,Japan,Japan,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),25.1,9.3,0,6.1,32.1,0,0,24.2,0,1,2018,97.80,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,第1回 鎌倉市地域公共交通活性化協議会 資料3　P31 \n鎌倉市の交通の現状（参考：東京都市圏パーソントリップ調査について）\nhttps://www.city.kamakura.kanagawa.jp/koutsu/documents/r6_1_kyogikaisiryou.pdf\nなお、合計値が100になっていない残りの2.2％は「バイク」が該当する。(マイクロモビリティはスクーターのみが該当するが、バイクはそれ以外も含むためマイクロモビリティには含めていない)
2025 Disclosure Cycle,779465,CDP,859097,Yamato City,City,Japan,Japan,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),23,13,1,3,33,0.0,0.0,27,0,0,2022,100.00,,,,,,,,,,,以下報告書による。\nhttps://www.tokyo-pt.jp/static/hp/file/publicity/toshikoutsu_1.pdf
2025 Disclosure Cycle,779465,CDP,859128,Makinohara City,City,Japan,Japan,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,データなし
2025 Disclosure Cycle,779465,CDP,859135,Higashiura Town,City,Japan,Japan,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,859167,Imabari City,City,Japan,Japan,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),7.0,17.0,7.0,3.0,1.0,0.0,0.0,3.0,,62.0,2015,100.00,,,,,,,,,,,分担率は実際には2010年のデータを報告しているが、「2010年」の選択肢がないため代案として2015年を選択している。
2025 Disclosure Cycle,779465,CDP,860640,Junta Intermunicipal de Medio Ambiente Altos Norte (JIAN),City,Latin America,Mexico,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,861779,Järfälla Municipality,City,Europe,Sweden,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of vehicle distance travelled (%),12,10,0,7,7,0,1,63,0,0,2024,100.00,,,,,,,,,,,The answer comes from KTH report in CERO: Utvärdering av klimatpåverkan från resor i Järfälla \nkommun med stöd av ny datadriven teknik. 
2025 Disclosure Cycle,779465,CDP,861790,Wokingham Borough Council,City,UKWW,United Kingdom,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of vehicle distance travelled (%),5.7,0.9,0,2.9,7.4,0,0,78.8,0,0,2023,95.70,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"Approximate % share of mileage covered by each mode, based on national rural/urban fringe averages. Taxis excluded from this methodology as out of scope."
2025 Disclosure Cycle,779465,CDP,862419,Sumbawa Regency,City,South East Asia & Oceania,Indonesia,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of vehicle distance travelled (%),2,1,42,20,0,4,12,15,2,1,2023,99.00,Freight mode share as share of trips (%),91.69,0.45,0.96,0.17,0,0,6.78,2024,100.05,The data is still being calculated. The data displayed is only an estimate.
2025 Disclosure Cycle,779465,CDP,862480,Ibarra,City,Latin America,Ecuador,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of vehicle distance travelled (%),38,2,0,32,0,0,10,16,0,2,2022,100.00,,,,,,,,,,,"En el PDOT 2020-2040 de Ibarra, el reparto modal que aparece en el diagnóstico de movilidad no incluye un porcentaje separado para motocicletas; estas se contabilizan dentro de la categoría de transporte privado junto con automóviles y camionetas"
2025 Disclosure Cycle,779465,CDP,862504,Posadas,City,Latin America,Argentina,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,ninguno
2025 Disclosure Cycle,779465,CDP,862505,Cheltenham Borough Council,City,UKWW,United Kingdom,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),37.07,1.9,0,1.37,0.04,0,0.57,58.83,0,0.21,2024,99.99,,,,,,,,,,,"Data for South West Region 2024, searched for sub-data but could not find.\n\nNational Travel Survey Analysis -\nhttps://www.gov.uk/government/statistical-data-sets/ad-hoc-national-travel-survey-analysis\nNTSQ09073: End to end journeys 2024\n\nlink address - \nhttps://assets.publishing.service.gov.uk/media/689b644d9159159c36e940b7/ntsq09073.ods\n\n"
2025 Disclosure Cycle,779465,CDP,862520,Surrey County Council,City,UKWW,United Kingdom,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"We only have access to national data for these breakdowns, we do not have passenger/freight mode shares for Surrey itself."
2025 Disclosure Cycle,779465,CDP,862673,"City of Selkirk, MB",City,North America,Canada,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,N/A
2025 Disclosure Cycle,779465,CDP,862760,"City of Oxford, OH",City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),20.7,1.7,0.0,1.8,0.0,0.0,6.4,56.0,0,13.4,2020,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"Data from Commuting Characteristics from the 2020: ACS 5-year estimates . \'Other\' includes transit by taxicab, motorcycle, or other means (0.8%) and people who work from home (12.6%)."
2025 Disclosure Cycle,779465,CDP,862814,"South-East Region of Ireland (Kilkenny, Carlow, Wexford, and Waterford Counties)",City,Europe,Ireland,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),19,6,2,16,5,3,5,39,1,4,2023,100.00,,,,,,,,,,,refer to the CSO National Travel Survey and publications by the National Transport Authority (NTA).
