disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Data availability,col2_Percentage of population that is food insecure,col3_Percentage of population that lives in a food desert,col4_Comment
2025 Disclosure Cycle,779465,CDP,2044811,Municipalidad de Cochrane,City,Latin America,Chile,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,No data available for the percentage of population that is food insecure/lives in a food desert,,,
2025 Disclosure Cycle,779465,CDP,2044814,Municipalidad de Curanilahue,City,Latin America,Chile,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,No data available for the percentage of population that is food insecure/lives in a food desert,,,
2025 Disclosure Cycle,779465,CDP,2044818,Municipalidad de Melipilla,City,Latin America,Chile,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,No data available for the percentage of population that is food insecure/lives in a food desert,,,
2025 Disclosure Cycle,779465,CDP,2044842,Municipalidad de Saavedra,City,Latin America,Chile,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,No data available for the percentage of population that is food insecure/lives in a food desert,,,
2025 Disclosure Cycle,779465,CDP,2045054,Gunung Kidul Regency,City,South East Asia & Oceania,Indonesia,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure,0.13,,
2025 Disclosure Cycle,779465,CDP,2045055,Jayapura Regency,City,South East Asia & Oceania,Indonesia,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,No data available for the percentage of population that is food insecure/lives in a food desert,,,
2025 Disclosure Cycle,779465,CDP,2045062,Pemalang Regency,City,South East Asia & Oceania,Indonesia,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,No data available for the percentage of population that is food insecure/lives in a food desert,,,belum tersedianya data
2025 Disclosure Cycle,779465,CDP,2045064,Magelang City,City,South East Asia & Oceania,Indonesia,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that lives in a food desert|Data available for the percentage of population that is food insecure,0,0,"Berdasarkan data FSVA Kota Magelang 2024:\n\nJumlah total kelurahan: 17\nyang termasuk prioritas 4 (kerawanan sedang-tinggi): 9 kelurahan → 52,94%\n\nyang termasuk prioritas 5 (kerawanan sangat tinggi/kritis): 8 kelurahan → 47,06%\n\nArtinya 100% wilayah Kota Magelang masuk kategori rawan pangan, dengan hampir setengahnya berada di tingkat kerawanan sangat tinggi."
2025 Disclosure Cycle,779465,CDP,2045081,Municipalidad de Humberto Primo,City,Latin America,Argentina,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,No data available for the percentage of population that is food insecure/lives in a food desert,,,-
2025 Disclosure Cycle,779465,CDP,2045150,Khohong Town Municipality,City,South East Asia & Oceania,Thailand,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that lives in a food desert|Data available for the percentage of population that is food insecure,0,0,
2025 Disclosure Cycle,779465,CDP,2045151,Satun Town Municipality,City,South East Asia & Oceania,Thailand,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure,0,,There is a fresh market and convenience stores in the community.
2025 Disclosure Cycle,779465,CDP,2045159,Khaoroopchang Town Municipality,City,South East Asia & Oceania,Thailand,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure|Data available for the percentage of population that lives in a food desert,1,1,People in certain areas continue to consume water from shallow wells that has not undergone any water quality treatment.
2025 Disclosure Cycle,779465,CDP,2045345,Municipality of Terézváros,City,Europe,Hungary,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,No data available for the percentage of population that is food insecure/lives in a food desert,,,
2025 Disclosure Cycle,779465,CDP,2045446,Phu Yen City,City,South East Asia & Oceania,Viet Nam,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,No data available for the percentage of population that is food insecure/lives in a food desert,,,Information on the percentage of Phu Yen's population who are food insecure and/or live in a food desert in Phu Yen Province is not data that are statistically compiled or publicly reported.
2025 Disclosure Cycle,779465,CDP,2045884,São Lourenço do Sul,City,Latin America,Brazil,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,No data available for the percentage of population that is food insecure/lives in a food desert,,,
2025 Disclosure Cycle,779465,CDP,2045903,Zugló District XIV of Budapest,City,Europe,Hungary,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,No data available for the percentage of population that is food insecure/lives in a food desert,,,This data is not available.
2025 Disclosure Cycle,779465,CDP,2046070,Municipalidad de Esperanza,City,Latin America,Argentina,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,No data available for the percentage of population that is food insecure/lives in a food desert,,,ninguno
2025 Disclosure Cycle,779465,CDP,35913,City of Nairobi,City,UKWW,Kenya,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure|Data available for the percentage of population that lives in a food desert,51,16.0,Data contained in food policy document 
2025 Disclosure Cycle,779465,CDP,44210,Yeosu City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that lives in a food desert,,1.47,"Yeosu is a city consisting of land and islands. The population of the island area, which requires access by boat, is 4,018 as of 2023. This is approximately 1.56% of the total population of Yeosu City (271,696)."
2025 Disclosure Cycle,779465,CDP,50387,Prefeitura de Guarulhos,City,Latin America,Brazil,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure,22,,"Dados da pesquisa da Fundação SEADE - Percepção da população sobre hábitos alimentares. Disponível em: https://spsocial.seade.gov.br/wp-content/uploads/sites/29/2023/11/SP-social-percepcao-populacao-habitos-alimentare.pdf\n\nImportante notar que o questionário disponibiliza apenas percentual de população como métrica, mas a pesquisa SEADE se refere ao número de famílias."
2025 Disclosure Cycle,779465,CDP,50543,"Halifax Regional Municipality, NS",City,North America,Canada,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure,29.3,,"Halifax does not currently collect municipal-level data on food deserts. However, the municipality is home to approximately half of Nova Scotia's population, which includes many low-income families and individuals receiving income assistance. In recent years, both housing and food costs have risen significantly, placing increased pressure on household budgets.\n\nStaff participate in the JustFOOD initiative, which aims to strengthen local food systems and promote food access, security, and justice for all.\n\nHalifax's Environment & Climate Change team has supported JustFOOD in the development of a comprehensive Food Action Plan, which outlines strategies to improve food access across the municipality. You can view the plan here: https://justfoodhalifax.ca/wp-content/uploads/2023/03/JustFOOD-Action-Plan-Part-A.pdf\nFood insecurity data published from NS Economics and Statistics for 2023: https://novascotia.ca/finance/statistics/topic_news.asp?id=20963&fto=23w&rdval=2025-05\n"
