disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Indicator used to estimate energy poverty^,col2_Percentage of households or total population within the jurisdiction boundary that face energy poverty^,col3_Threshold used for energy poverty^,col4_Comment
2025 Disclosure Cycle,779465,CDP,854042,Metropolitan Municipality of Milan,City,Europe,Italy,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of total population within the jurisdiction boundary that face energy poverty,10,Up to 10% of income spent on energy services,"A household is considered to be in energy poverty when the payment of electricity bills puts the household in financial difficulty. Low household income, inadequate housing conditions and high energy prices combine to increase the risk of energy poverty."
2025 Disclosure Cycle,779465,CDP,854050,"City of Nanaimo, BC",City,North America,Canada,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,4.9,Up to 10% of income spent on energy services,"Provincial level data from 2021 census, local data not available."
2025 Disclosure Cycle,779465,CDP,856655,Cardiff Capital Region,City,UKWW,United Kingdom,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,45,Up to 10% of income spent on energy services,"Fuel Poverty in Wales - National Energy Action (NEA) According to the Welsh Government's latest estimates, up to 45% (614,000) of all households in Wales were in fuel poverty, following the price cap increase of April 2022. Up to 8% (115,000) of Welsh households were estimated to be in severe fuel poverty. Furthermore, 98% (217,700) of all Wales' lower-income households were estimated to be in fuel poverty at that time, with up to 41% (91,700) of those thought to be in severe fuel poverty. Definition of Fuel Poverty: A household is regarded as being in fuel poverty if they are unable to keep their home warm at a reasonable cost. This is measured as any household needing to pay more than 10% of their full household income to maintain a satisfactory\nhttps://www.nea.org.uk/fuel-poverty-map/fuel-poverty-in-wales/\n"
2025 Disclosure Cycle,779465,CDP,859096,Kamakura City,City,Japan,Japan,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,エネルギー貧困に直面している世帯を推定するためのデータが存在しない。
2025 Disclosure Cycle,779465,CDP,859135,Higashiura Town,City,Japan,Japan,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,
2025 Disclosure Cycle,779465,CDP,859167,Imabari City,City,Japan,Japan,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,
2025 Disclosure Cycle,779465,CDP,860640,Junta Intermunicipal de Medio Ambiente Altos Norte (JIAN),City,Latin America,Mexico,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,
2025 Disclosure Cycle,779465,CDP,861790,Wokingham Borough Council,City,UKWW,United Kingdom,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,6.2,"Other: A household is considered to be fuel poor if they are living in a property with a fuel poverty energy efficiency rating of band D or below, as per government approaches and data.",https://www.gov.uk/government/statistics/annual-fuel-poverty-statistics-report-2025
2025 Disclosure Cycle,779465,CDP,862419,Sumbawa Regency,City,South East Asia & Oceania,Indonesia,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,8.22,Up to 10% of income spent on energy services,"Penetapan kategori kemiskinan energi (energy poverty) bagi rumah tangga di Kabupaten Sumbawa dapat didasarkan pada kemampuan rumah tangga dalam memenuhi kebutuhan energi minimum, khususnya listrik. Pada pendekatan berbasis biaya listrik (expenditure-based energy poverty), rumah tangga dikategorikan miskin energi apabila proporsi pengeluaran listriknya berada di atas atau melampaui batas kewajaran dibandingkan pendapatannya, sehingga menimbulkan beban ekonomi berlebihan.\n\n1. Penggunaan Prinsip “High Energy Expenditure Burden”\n\nRumah tangga dapat diklasifikasikan sebagai miskin energi apabila:\n\nPersentase pengeluaran listrik ≥10% dari total pengeluaran rumah tangga per bulan.\nAmbang ini lazim digunakan dalam kajian nasional dan internasional untuk menentukan beban energi yang tidak proporsional.\n\nPada rumah tangga berpenghasilan rendah, batas ini dapat turun menjadi 6-8%, karena sensitivitas pengeluaran lebih tinggi.\n\n2. Perbandingan dengan Penghasilan Minimum Regional\n\nDi Kabupaten Sumbawa, penetapan miskin energi juga dapat merujuk pada indikator ekonomi lokal:\n\nUpah Minimum Kabupaten (UMK) dan garis kemiskinan BPS dijadikan dasar untuk menilai apakah rumah tangga tersebut mampu membiayai kebutuhan listrik dasar tanpa mengorbankan kebutuhan esensial lain.\n\nRumah tangga yang membayar listrik melebihi kemampuan daya beli minimal dapat dikategorikan sebagai energy stressed households.\n\n3. Pola Konsumsi Listrik yang Tidak Mencapai Kebutuhan Minimum\n\nSebuah rumah tangga juga dapat dianggap miskin energi apabila:\n\nDaya listrik sangat rendah (misal 450 VA subsidi) tetapi masih tidak mampu membayar tagihan.\n\nKonsumsi listrik per bulan sangat kecil (misal <40 kWh/bulan), mencerminkan penghematan terpaksa akibat keterbatasan ekonomi, bukan karena efisiensi.\n\n4. Indikator Tambahan yang Dapat Digunakan Pemerintah Daerah\n\nUntuk konteks Kabupaten Sumbawa, penetapan miskin energi berbasis listrik dapat diperkuat dengan indikator lokal, antara lain:\n\nTunggakan pembayaran listrik rutin yang berulang.\n\nKetidakmampuan meningkatkan daya listrik meskipun kebutuhan meningkat (misalnya untuk keperluan usaha kecil, alat pendingin, penerangan memadai).\n\nKetergantungan pada sumber penerangan alternatif seperti genset kecil, pelita, atau solar cell murah yang tidak mencukupi kebutuhan.\n\nRumah tangga berada pada desa kategori tertinggal atau sangat tertinggal (berdasarkan IDM), yang biasanya memiliki biaya energi tidak proporsional.\n\n5. Kaitan dengan Kondisi Sumbawa\n\nKabupaten Sumbawa memiliki tingkat kemiskinan sekitar ±11-12%, serta akses listrik PLN sekitar ±92%. Namun, kemiskinan energi masih dapat terjadi karena:\n\nTarikan tagihan listrik yang tinggi bagi rumah tangga berpenghasilan rendah, terutama ketika pemakaian meningkat.\n\nKeterbatasan kemampuan membayar listrik prabayar.\n\nKetergantungan pada daya kecil (450-900 VA) yang membatasi kenyamanan hidup dan produktivitas."
2025 Disclosure Cycle,779465,CDP,862504,Posadas,City,Latin America,Argentina,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,ninguno\n
2025 Disclosure Cycle,779465,CDP,862520,Surrey County Council,City,UKWW,United Kingdom,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,8.4,Up to 10% of income spent on energy services,https://www.surreyi.gov.uk/dataset/fuel-poverty-and-related-statistics-exz1x
2025 Disclosure Cycle,779465,CDP,862673,"City of Selkirk, MB",City,North America,Canada,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,N/A
2025 Disclosure Cycle,779465,CDP,862760,"City of Oxford, OH",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,36.8,Up to 15% of income spent on energy services,"Utilized the LEAD Tool from the US Dept. of Energy to estimate energy poverty. Our community has a high number of college students who do not work full time, leading to the high number of households facing energy poverty. The LEAD tool shows 1,408 households are at the 0-30% AMI for Oxford, with an energy burden of 20%. The community wide energy burden is 3% "
2025 Disclosure Cycle,779465,CDP,862909,"Blaine County, ID",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,"Unfortunately, energy poverty was not estimated for our jurisdiction."
